"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПК-СТРОЙ""";г. Москва, ул. Сущёвская, д.  27 стр.  2 Э/ пом. /К/ офис  3/III/3/119
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАРТ КРАН""";г. Москва, проезд Серебрякова, д.  14 стр.  15 этаж  2 пом. 8Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОЭНЕРГОМ""";г. Москва, ул. 6-Я Новые Сады, д.  2 пом.  I ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕСПРОМСЕРВИС""";г. Москва, пер. Налесный, д.  4 стр.  4 этаж  1 ДВ Х пом. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАВИ-СЕРВИС""";г. Москва, набережная Семеновская, д.  3/1 корп.  4 этаж / пом. / ком.  ПОДВАЛ/IX/13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕЛЕС""";Московская обл., г. Протвино, шоссе Оболенское, д.  2 офис  224
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУКИ КРАФТ""";Московская обл., г. Люберцы, рабочий пос. Томилино, ул. Гаршина, д.  9 литера  Б офис  22
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИЛВЕР ЛИФТ""";г. Москва, ул. Амундсена, д.  3 корп.  1 кв.  6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМПОЛИМЕРСБЫТ""";г. Москва, пл. Спартаковская, д.  14 стр.  3 этаж  2 ком. 10
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГУРУ""";г. Москва, проспект Олимпийский, д.  7 Э/ пом. / ком.  1/IV/61
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМК""";Московская обл., Одинцово город, проезд Транспортный, д.  13 литера  В1 пом.  28, этаж ПОДВАЛ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЭВИД БРАУН САНТАСАЛО РУС""";г. Санкт-Петербург, ул. Химиков, д.  28 литера  АС пом.  1-Н пом. 505
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕРЦЕН""";г. Москва, ул. Фрязевская, д.  10 стр. 2 этаж  4 пом. XXI ком. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАГАР.ИН""";г. Москва, пер. Рыбников, д.  1 этаж , пом.  1, 14
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГК ФУНДАМЕНТ""";г. Москва, шоссе Дмитровское, д.  71Б этаж  4 пом. VII ком. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РД-СПЕЦСЕРВИС""";г. Москва, ул. Свободы, д.  35 стр.  22 этаж /Ч. пом.  3/26
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ ВКУСА""";г. Москва, ул. Гурьянова, д.  30 этаж \ офис  3\322
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИШКА.РУ""";г. Москва, Филимонковское поселение, ул. Харлампиева, д.  50 корп.  2 кв.  2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИЛЕКСА""";г. Москва, ул. Иловайская, д.  3 стр.  17 Э/ пом. / ком.  1/I/9(17105)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНО""";г. Москва, проезд Походный, д.  4 корп.  1 офис  601 ком. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАФИЛЬЕ""";Московская обл., г. Щёлково, ул. Советская, д.  1/2 литера  Б1 этаж / пом.  2/9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЭКОНД СКИН""";г. Москва, ул. Профсоюзная, д.  57 пом.  III этаж 4 ком. 104
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОКСТОН СИСТЕМЫ""";г. Москва, проезд Остаповский, д.  15 корп.  2 этаж  4 пом. 1 ком. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛИНЗЛАЗЕР""";г. Москва, шоссе Волоколамское, д.  108 Э ЦОКОЛЬ пом. VIII К 4 офис 62
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БИЗНЕС ТРОЯ""";г. Москва, ул. Нагорная, д.  5 стр.  4 этаж  2 ком. 7 офис 39
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АИР ГРИЛЬ""";г. Москва, ул. Верейская, д.  29 стр.  32А этаж / пом. / ком.  1/I/40
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЕ ТЕХНОЛОГИИ ЛАКОКРАСОЧНЫХ МАТЕРИАЛОВ""";г. Москва, пер. 1-Й Красносельский, д.  3 Э/ пом. /К/ офис  П1/I/17/359
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНТИ МОДА""";г. Москва, набережная Пресненская, д.  10 стр.  2 Э/ пом. /К/ офис  11/97/2/115
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАМИДРИМС""";г. Москва, ул. Угрешская, д.  2 стр.  80 этаж  1 офис 18
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАГИСТРАЛЬ 88""";г. Москва, пер. Всеволожский, д.  2 стр.  2 мансарда  1 пом. К1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САРТЕКС""";г. Москва, ул. 6-Я Радиальная, д.  3 корп.  6 Э/ пом. /К/ офис  1/LI/3/3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАСШЕФ""";г. Москва, ул. Ташкентская, д.  22 корп.  3 кв.  65
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИЗАЙН-ЭКСПЕРТ""";г. Москва, ул. Василия Петушкова, д.  21 корп.  2 кв.  32
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННОЕ ГИДРАВЛИЧЕСКОЕ ОБОРУДОВАНИЕ""";г. Москва, ул. Шереметьевская, д.  85Б стр.  3 ком.  1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ПРОИЗВОДСТВЕННО-КОММЕРЧЕСКАЯ ФИРМА ""КАСКАД""";г. Москва, ул. Искры, д.  31 корп.  1 этаж  ЧЕРДАК пом. II ком. 35
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕКСТИЛЬ МЯТА""";г. Москва, ул. Викторенко, д.  18 стр.  3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""";г. Москва, шоссе Волоколамское, д.  1 стр.  1 Э/ пом. /К/ офис  5/VI/30Б/134
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИМБЕРТРЕЙД";г. Москва, ул. Свободы, д.  35 стр.  56 этаж  1 ком. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКО КЭМИКЛ""";г. Москва, шоссе Энтузиастов, д.  34 Э 1 пом. I К 37 офис В49
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСПЕХ""";г. Москва, проспект Маршала Жукова, д.  49 кв.  155
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ СИЛАН""";г. Москва, бульвар Славянский, д.  9 корп.  1 этаж  1 пом. II, ком. 51А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОВАТОР БЕТОН""";г. Москва, ул. Херсонская, д.  41А этаж  3 пом. III ком. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГК СИБИРЯК""";г. Москва, ул. Малая Семёновская, д.  3А стр.  1 этаж / пом. / ком.  8/XXI/15
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОМЕНТАВТО""";г. Москва, проезд Днепропетровский, д.  3 этаж  ПОДВАЛ пом. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧПУ МОДУЛЬ""";г. Москва, ул. Стромынка, д.  18 корп.  5 этаж  5 пом. IX ком. 35
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИСЛОРОДНО-ГАЗИФИКАЦИОННАЯ СЛУЖБА""";г. Москва, шоссе Волоколамское, д.  108 Э ЦОКОЛЬ пом. VIII К 1 офис 79
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕЛЬНОЕ ЗЕРНО""";г. Москва, ул. Воронцовская, д.  19Б этаж  1 П I К 1В офис 29
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЕ ТЕХНОЛОГИИ""";г. Москва, ул. Воронцовская, д.  19Б этаж /П/К/ офис  1/I/1В/XX
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РПК""";г. Москва, проезд Окружной, д.  8 стр.  2 этаж  4, ком. 10
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРТМАНН ХОР ИНЖИНИРИНГ""";г. Москва, туп. 1-Й Тихвинский, д.  5-7 пом. / ком. / офис  I/10/33
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗВАНБА""";г. Москва, шоссе Дмитровское, д.  100 Э 4 пом. I К 33 офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННЫЙ КОМПОЗИТ""";г. Москва, бульвар Черноморский, д.  17 корп.  1 этаж  5 пом. II К 4 офис 69
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОБОТОТЕХНИКА И АВТОМАТИЗАЦИЯ""";г. Москва, ул. Годовикова, д.  9 стр.  1 ПОД/ этаж / пом.  1.28/1/1А.1.
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАЛЛИУМ МОДЕРН""";г. Москва, ул. Нижегородская, д.  12 кв.  7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙМАШАВТОМАТИЗАЦИЯ""";г. Москва, шоссе Волоколамское, д.  73 Э/ пом. /К/ офис  3/I/118/345
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАЗЕЛЕВС""";г. Москва, ул. Рождественка, д.  5/7 стр.  2 этаж /П/К/ офис  3/V/7/2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕЛЛЕКТУАЛЬНЫЕ СВЕТОТЕХНИЧЕСКИЕ СИСТЕМЫ И РЕШЕНИЯ""";г. Москва, проезд Автомобильный, д.  4 стр.  1 пом.  210
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД ТОЧНОЙ ОБРАБОТКИ МЕТАЛЛА""";г. Москва, ул. Селезневская, д.  11А стр.  1 пом.  1, ком. 207
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХАРТМАНН КЕМИКЛ ИНЖИНИРИНГ""";г. Москва, туп. 1-Й Тихвинский, д.  5-7 пом.  I ком. 8 офис 46
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИАБ""";г. Москва, бульвар Сиреневый, д.  72 этаж  1 пом. 1 ком. 10
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕКТОР""";г. Москва, ул. Большая Филёвская, д.  4 кв.  375
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДТМГЕО """;г. Москва, бульвар Дмитрия Донского, д.  9 корп.  2 кв.  247
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДУЛОВСКАЯ ПИВОВАРНЯ""";г. Москва, ул. Туристская, д.  25 корп.  3 кв.  425
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРКАЛЬ""";г. Москва, ул. Маршала Савицкого, д.  8 корп.  1 этаж  1 пом. III ком. 31
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕМТОРГ""";г. Москва, пл. Журавлёва, д.  2 стр.  2 этаж  4 пом. 59
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМЕ РАША""";г. Москва, ул. Бутырский Вал, д.  68/70 стр.  1 пом.  1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАЛДИ МСК""";г. Москва, набережная Пресненская, д.  12 этаж  24
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЛ-ЛАЗЕР""";г. Москва, ул. Адмирала Руднева, д.  4 этаж  6 пом. 6 офис 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПРИНГ ГРУПП""";г. Москва, ул. Кирпичные Выемки, д.  2 корп.  1,4 этаж пом.  XII, офис 427А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИТИСЕРВИС""";г. Москва, ул. Обручева, д.  4 корп.  1 кв.  48
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОДНАЯ ФАБРИКА МСК""";г. Москва, ул. Никольская, д.  17 стр.  2 офис ПОДВАЛ ПОМЕЩЕНИ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕГИОН""";г. Москва, проспект Вернадского, д.  29 Э 12 пом. I К 4 офис 106
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖИНИРИНГ-ГРУПП""";г. Москва, ул. Рябиновая, д.  41 корп.  1 стр. 6 офис  А-01
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЭСТЕТИКА""";г. Москва, тер. Сколково Инновационного Центра, бульвар Большой, д.  42 стр.  1 этаж  0 пом. 138 РАБ 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ЦЕНТРОЗНАК""";г. Москва, пер. Орлово-Давыдовский, д.  1 Э/ пом. /К/ офис  1/III/3/Б28
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДИЗАЙН КАМЕНЬ""";г. Москва, проспект Мира, д.  70 Э/ пом. /К/ офис  1А/III/2/85
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е-КЛИН""";г. Москва, шоссе Волоколамское, д.  108 Э ЦОКОЛЬ пом. VIII К 2 офис 81
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЧТА.МСК""";г. Москва, проезд 1-Й Дорожный, д.  7 стр.  1 этаж  1 пом. 1 ком. 87
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНО-ЧПУ""";г. Москва, г. Зеленоград, проезд 4922-Й стр.  2 ком.  57
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИГРИН""";г. Москва, ул. Прянишникова, д.  23А этаж  ПОДВАЛ пом. V ком. 6-11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИМЕРКОМПОЗИТНЫЕ БАЛЛОНЫ""";г. Москва, ул. Сенежская, д.  6А ком.  26А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ВАКК""";г. Москва, ул. Воронежская, д.  3 кв.  148
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАКУС-КРАСКИ""";г. Москва, шоссе Дмитровское, д.  60 офис  720
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТА""";г. Москва, проспект Пролетарский, д.  17 корп.  1 Э/ пом. /К/ офис  1/II/2/Б5Л
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЭНДИ ЛАБ""";г. Москва, ул. Черкизовская Б., д.  20 корп.  4 кв.  28
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАСТЕРСКАЯ ПОДАРКОВ""";г. Москва, проезд Высоковольтный, д.  1 стр.  49 офис  155
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ВНЕДРЕНИЯ НОВЫХ ТЕХНОЛОГИЙ""";г. Москва, ул. Сельскохозяйственная, д.  11 корп.  3 этаж  1 пом. II ком. 2(РМ118)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛ ЭС""";г. Москва, проезд Багратионовский, д.  7 корп.  1 этаж / пом. / ком.  4/I/61
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕКТР ГЛАСС""";г. Москва, ул. Малая Ордынка, д.  13 стр.  1 кв.  6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНО-ЗМК""";г. Москва, проспект Мира, д.  102 корп.  1 этаж / ком. / офис  8/807/125
